"_RowNumber","ID_SolicitudesConfiabilidad","InformacionEvaluado","NSolicitud","EstadoActual","EstadoSiguiente","EstadoActualEP","EstadoSiguienteEP","MotivoCancelación","ID_Cliente","RazonSocial","TipoCliente","NIT","FechaSolicitud","JobOrderATS","ClienteProyectoInterno","ClienteProyectoExterno","Linea","CentroCostos","LineaNegocio","CentroCostosExterno","CentroUtilidad","NombreCompleto","TipoIdentificacion","Identificacion","FechaExpedicion","Cargo","Correo","Celular","Ciudad","Direccion","Barrio","EstadoCivil","TipoTrabajador","ServicioAplicar","VisitaDomiciliaria","ModalidadVisita","AsignadoVD","ConsultaAntecedentes","AsignadoCA","Referenciacion","ReferenciaAcademica","ReferenciaLaboral","ReferenciaPersonal","AsignadoR","AsignadoRP","EstudiosPoligrafia","TipoPoligrafia","AsignadoEP","CiudadP","Notas","ConsultaDatacredito","ComparativoOEA","CadenaTarifa","TipoCobro","CobroPoligrafia","CobroConfiabilidad","CobroServicios","ContadorFreelance","ArchivoInforme","Error","ObservacionesCoordinador","UsuarioCreación","UsuarioActualizacion","FechaActualizacion","Generado","Facturacion","Asignacion","FechaSolicitudSinHora","FechaEstimadaEntregaConfiabilidadVisitaDomiciliaria","FechaEstimadaEntregaPoligrafia","DiasEnCursoConfiabilidad","DiasEnCursoPoligrafia","FechaEstimadaEntregaConfiabilidadReferencias","FechaEntregaConfiabilidadAntecedentes","FechaEntregaConfiabilidadDatacredito","CobroPoligrafiaEJ","CobroConfiabilidadEJ","PrecioVisitaFreelance","CobroServiciosEJ","PrecioVisitaEJ","PrecioAntecedentesEJ","PrecioReferenciaPersonalEJ","PrecioReferenciaLaboralEJ","PrecioConsultaDatacreditoEJ","PrecioReferenciaAcademicaEJ","PagoFreelanceVD","PagoAdicionalVD","ValorMoraVD","UsuarioCierreCI","FechaCierreCI","UsuarioCierrePR","FechaCierrePR","UsuarioCierreAN","FechaCierreAN","UsuarioCierreEU","FechaCierreEU","UsuarioCierreEX","FechaCierreEX","NombreServicioReferenciacion","PrecioReferenciaLaboralFreelance","PrecioReferenciaAcademicaFreelance","PagoFreelanceReferenciacion","PagoAdicionalReferencias","ValorMoraReferenciacion","NombreServicioReferenciacionPersonal","PrecioReferenciaPersonalFreelance","PagoFreelanceReferenciaPersonal","ValorMoraReferenciasP","PagoAdicionalReferenciasP","CadenaTarifaEJ","Related conServiciosAplicars","Fecha Solicitud sin hora","Related conRegistroFotograficos","Related conAutFirmadas","Related conDocumentosSolicituds","New Virtual Column","New Virtual Column 1","ContarVisita","Related conInformeVisitaDoms","conteoServicios","fechaSolicitudHora","Coteo Data","Related conHistoricoEstSolicituds","Estado Final Solicitud","TieneEstuConfiabilidadInicial","FechaMaxConfiabilidadCierre","TieneEstuPoligrafiaInicial","FechaMaxPoligrafiaCierre","Estado Final Poligrafia","Related conInformeAntecedentes",
"2,329","124aa1ba","","2024955","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 9:51:04 AM","","","","","","","","","Miguel Angel Quiñones Molina","Cédula de Ciudadanía","1118558725","","AYUDANTE","juli04m94@gmail.com","3208878875","CUNDINAMARCA-SOPÓ","SOPO","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:Gynna Aya","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 9:51:30 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 9:51:04 AM","","5/28/2026 9:51:04 AM","","5/28/2026 9:51:04 AM","","5/28/2026 9:51:04 AM","","5/28/2026 9:51:04 AM","","","","","","","","","","","","","12b3f873 , 2b5ad86c , 3644116c , 94195d89","5/28/2026","","","","N","","1","a052a4ed","4","5","0","","Abierta","Y","","N","","","",
"22,381","a734072d","","36481635383","En proceso","","","","","G4S SUROCCIDENTE","G4S SUROCCIDENTE","Interno","860,013,951","5/28/2026 11:26:31 AM","","","","SECURE","017-GUARDAS DE SEGURIDAD","012-VIGILANCIA","","7","BOTERO ARENAS  ERNESTO  ANTONIO","Cédula de Ciudadanía","1192920378","","vigilante","","3332771971","VALLE DEL CAUCA-CALI","cali","","","Nuevo","","N","","","Y","Antecedentes.1","N","","","","","","N","","","","","N","N","Antec +","Individual","","25,000.00","25,000.00","","","","","luisa.pinzon@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 11:29:02 AM","No Generado","","_LISTO__LISTO__LISTO__LISTO_","5/28/2026","","","","","","5/29/2026","","","","","","","","","","","","","","","","5/28/2026 11:26:31 AM","","5/28/2026 11:26:31 AM","","5/28/2026 11:26:31 AM","","5/28/2026 11:26:31 AM","","5/28/2026 11:26:31 AM","","","","","","","","","","","","","5a77539d","5/28/2026","","","","N","","0","","1","5","0","","Abierta","Y","","N","","","",
"22,444","a7bc3904","","9507275","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:43:05 AM","","","","","","","","","Luis Antonio Escorcia Movilla","Cédula de Ciudadanía","1129486429","","AYUDANTE","Luisantonioescorciamovilla6@gmail.com","3017224253","ATLANTICO-GALAPA","GALAPA","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:
Yirnory Viuche Carvajal","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:44:02 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:43:05 AM","","5/28/2026 10:43:05 AM","","5/28/2026 10:43:05 AM","","5/28/2026 10:43:05 AM","","5/28/2026 10:43:05 AM","","","","","","","","","","","","","49baf01a , a1eb6ae3 , a40f63c3 , cc15267b","5/28/2026","","","","N","","1","66ed7204","4","5","0","","Abierta","Y","","N","","","",
"22,540","a851b0cc","","1289382","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:44:02 AM","","","","","","","","","Luis  Alfredo Solano  Genis","Cédula de Ciudadanía","1001933322","","AYUDANTE","Solanoluisalfredo2@gmail.com","3001049965","ATLANTICO-GALAPA","GALAPA","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:
Yirnory Viuche Carvajal","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:44:26 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:44:02 AM","","5/28/2026 10:44:02 AM","","5/28/2026 10:44:02 AM","","5/28/2026 10:44:02 AM","","5/28/2026 10:44:02 AM","","","","","","","","","","","","","a89a4629 , d7339d74 , dfa800ef , fa7ec6f1","5/28/2026","","","","N","","1","57aa1c34","4","5","0","","Abierta","Y","","N","","","",
"22,671","a947ae8e","","3120042","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:45:05 AM","","","","","","","","","Dilan José  De avila Rivaldo","Cédula de Ciudadanía","1129565971","","AYUDANTE","dilandeavila04@gmail.com","3246101842","ATLANTICO-GALAPA","GALAPA","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:
Yirnory Viuche Carvajal","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:45:27 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:45:05 AM","","5/28/2026 10:45:05 AM","","5/28/2026 10:45:05 AM","","5/28/2026 10:45:05 AM","","5/28/2026 10:45:05 AM","","","","","","","","","","","","","0f5dbf1e , 9b88e13a , e1de216a , ea255352","5/28/2026","","","","N","","1","ac169c01","4","5","0","","Abierta","Y","","N","","","",
"23,817","B18U6ZEB","","2692962","En proceso","","","","","prueba externo","prueba externo","Externo","434,554","5/28/2026 8:21:04 AM","","","","","","","","","Pedro Pablo Ramirez","Cédula de Ciudadanía","1010101010","","Coordinador","pedro.ramirez@test.com","3224445566","BOGOTA D.C.-BOGOTA D.C.","Cra 8 # 15-30","","","Actual","","N","","","Y","Antecedentes.1","Y","Y","Y","Y","andres.quintero@co.g4s.com","andres.quintero@co.g4s.com","N","","","","Prueba 8","Y","Y","Antec + Referencia Académica + laboral + Personal + datacredito +","Individual","","0.00","0.00","","","","","jhoan.gaitan@co.g4s.com","","5/28/2026 8:21:23 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 8:21:04 AM","","5/28/2026 8:21:04 AM","","5/28/2026 8:21:04 AM","","5/28/2026 8:21:04 AM","","5/28/2026 8:21:04 AM","","","","","","","","","","","","","07cbc180 , 6698b854 , 79e9c922 , 942a30f4","5/28/2026","","","","N","","1","e3c0d351","4","5","0","","Abierta","Y","","N","","","",
"24,317","b50cd9ce","","9853317","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:04:05 AM","","","","","","","","","Jose Luis Polo Gallardo","Cédula de Ciudadanía","1082959578","","AYUDANTE CALIDAD","aby10pv@gmail.com","3114228380","CUNDINAMARCA-FACATATIVÁ","FACA","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:Gynna Aya","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:04:26 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:04:05 AM","","5/28/2026 10:04:05 AM","","5/28/2026 10:04:05 AM","","5/28/2026 10:04:05 AM","","5/28/2026 10:04:05 AM","","","","","","","","","","","","","0df16470 , 331534ff , 4c7fb4df , d416903e","5/28/2026","","","","N","","1","23d95648","4","5","0","","Abierta","Y","","N","","","",
"25,501","bdb55577","","7596281","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:46:05 AM","","","","","","","","","Angel  Enrique  Mattos  Perez","Cédula de Ciudadanía","1002021601","","AYUDANTE","angelmattos9119@gmail.com","3005591361","ATLANTICO-GALAPA","GALAPA","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:
Yirnory Viuche Carvajal","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:46:24 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:46:05 AM","","5/28/2026 10:46:05 AM","","5/28/2026 10:46:05 AM","","5/28/2026 10:46:05 AM","","5/28/2026 10:46:05 AM","","","","","","","","","","","","","31376c09 , 600c2e6b , 875ec374 , d8b7f9c8","5/28/2026","","","","N","","1","7b3406eb","4","5","0","","Abierta","Y","","N","","","",
"27,919","cf38b829","","9345953","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:05:04 AM","","","","","","","","","Yosman Antonio Castro German","Cédula de Ciudadanía","1192762478","","AYUDANTE","yosmancastro43@gmail.com","3103837808","CUNDINAMARCA-SOPÓ","SOPO","","","Nuevo","","Y","Virtual","MARÍA FERNANDA PÉREZ GUATIBONZA","Y","Antecedentes.1","Y","Y","Y","N","MARÍA FERNANDA PÉREZ GUATIBONZA","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:Gynna Aya","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Paquete","0.00","128,239.00","128,239.00","","","","","nykole.bolaos@co.g4s.com","poligrafias.confiabilidad@co.g4s.com","5/28/2026 10:05:22 AM","No Generado","","Masivo","5/28/2026","5/28/2026","5/28/2026","","","5/28/2026","5/28/2026","5/28/2026","","","","","","","","","","","","","","","5/28/2026 10:05:04 AM","","5/28/2026 10:05:04 AM","","5/28/2026 10:05:04 AM","","5/28/2026 10:05:04 AM","","5/28/2026 10:05:04 AM","","","","","","","","","","","","","2f49cd82 , 84c388ee , c1c7e75c , e92051d1","5/28/2026","","","","N","","1","d6e3456e","4","5","0","","Abierta","Y","","N","","","",
"27,921","cf3f7826","","8107778","En proceso","","","","","ADECCO COLOMBIA S A","ADECCO COLOMBIA S A","Externo","860,050,906","5/28/2026 10:06:05 AM","","","","","","","","2","Kevin Santiago Ahumada Cano","Cédula de Ciudadanía","1070988231","","AYUDANTE CALIDAD","ahumadacanok@gmail.com","3138160851","CUNDINAMARCA-FACATATIVÁ","FACA","","","Nuevo","","Y","Virtual","LAURA ISABEL RAMÍREZ VELÁSQUEZ","Y","Antecedentes.1","Y","Y","Y","N","LAURA ISABEL RAMÍREZ VELÁSQUEZ","MARÍA FERNANDA PÉREZ GUATIBONZA","N","","","","Solicitado por:Gynna Aya","N","N","Antec + Referencia Académica + laboral + Visita virtual +","Individual","","162,602.00","162,602.00","","","","","nykole.bolaos@co.g4s.com","nykole.bolaos@co.g4s.com","5/28/2026 11:44:32 AM","No Generado","","Masivo","5/28/2026","6/3/2026","","0","","6/3/2026","5/29/2026","","","0.00","","0.00","","","","","","","0.00","","","","5/28/2026 10:06:05 AM","","5/28/2026 10:06:05 AM","","5/28/2026 10:06:05 AM","","5/28/2026 10:06:05 AM","","5/28/2026 10:06:05 AM","","","","","","","","","","","","","3bb65069 , 6ffaebf0 , a75de0b0 , fd5b0c41","5/28/2026","","","","N","","1","8f292432","4","5","0","","Abierta","Y","","N","","","",
